,Uniprot_id,Gene,Sequence_length,Mol_weight_Delton,Family_class,KEGG_Pathways,Associated_PDBs
0,P0AB71,fbaA,359,39147,F_bP_aldolase,"['ecj:JW2892', 'eco:b2925']","['1B57', '1DOS', '1GYN', '1ZEN', '5GK3', '5GK4', '5GK5', '5GK6', '5GK7', '5GK8', '5VJD', '5VJE']"
1,Q92824,PCSK5,1860,206942,GF_recep_IV,['hsa:5125'],[]
2,Q92825,PDE1B,536,61380,PDEase_I,['hsa:5153'],"['1TAZ', '4NPV', '4NPW', '5B25', '5UOY', '5UP0', '5W6E']"
3,Q92826,HOXB13,284,30676,Homeodomain,['hsa:10481'],"['2CRA', '5EDN', '5EEA', '5EF6', '5EG0', '5EGO', '5NO6']"
4,Q92827,MYO1F,401,44589,Myosin_head,[],[]
5,Q92828,CORO2A,525,59763,DUF1899,['hsa:7464'],[]
6,Q92829,CORO2A,525,59763,DUF1899,['hsa:7464'],[]
7,Q92830,KAT2A,837,93926,Acetyltransf_1,['hsa:2648'],"['1F68', '1Z4R', '3D7C', '5H84', '5H86', '5MLJ', '5TRL', '5TRM', '6J3P']"
8,Q92831,KAT2B,832,93013,Acetyltransf_1,['hsa:8850'],"['1CM0', '1JM4', '1N72', '1WUG', '1WUM', '1ZS5', '2RNW', '2RNX', '3GG3', '4NSQ', '5FDZ', '5FE0', '5FE1', '5FE2', '5FE3', '5FE4', '5FE5', '5FE6', '5FE7', '5FE8', '5FE9', '5LVQ', '5LVR', '5MKX', '6J3O']"
9,Q92832,NELL1,810,89635,EGF_3,['hsa:4745'],['6POL']
10,Q92833,JARID2,1246,138734,ARID,['hsa:3720'],"['5HYN', '5LS6', '5WAI', '6C23', '6C24', '6NQ3', '6WKR', '7KSO']"
11,Q92834,RPGR,1020,113387,RCC1,['hsa:6103'],"['4JHN', '4JHP', '4QAM']"
